PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,male,Q,S
1,0,3,-0.4610210668455159,1,0,-0.7737622176191002,True,False,True
3,1,3,-0.1157496170192726,0,0,-0.7229445015501094,False,False,True
4,1,1,0.6611111450897748,1,0,2.678078199807907,False,False,True
5,0,3,0.6611111450897748,0,0,-0.7135338133891851,True,False,True
6,0,3,-0.2883853419323943,0,0,-0.6827947415803423,True,True,False
7,0,1,2.30115053176443,0,0,2.5849123870147563,True,False,True
8,0,3,-2.187378315976732,3,1,0.2670598929791193,True,False,True
9,1,3,-0.0294317545627118,0,2,-0.4814060149365637,False,False,True
10,1,2,-1.1515639664980024,1,0,0.9443132414434566,False,False,False
11,1,3,-2.0147425910636105,1,1,-0.0623141926532286,False,False,True
12,1,1,2.6464219815906738,0,0,0.6792480344276006,False,False,True
13,0,3,-0.6336567917586375,0,0,-0.7135338133891851,True,False,True
14,0,3,1.006382594916018,1,5,1.0349720469105363,True,False,True
15,0,3,-1.1515639664980024,0,0,-0.728274715324457,False,False,True
16,1,2,2.387468394220991,0,0,-0.1150140463544042,False,False,True
17,0,3,-2.187378315976732,4,1,0.8731082105426397,True,True,False
18,1,2,0.1432039703504098,0,0,-0.3408705622165857,True,False,True
19,0,3,0.3158396952635314,1,0,0.0355569642203833,False,False,True
20,1,3,-0.2883853419323943,0,0,-0.7756443552512851,False,False,False
21,0,2,0.6611111450897748,0,0,0.637841006519534,True,False,True
22,1,2,0.5747932826332139,0,0,-0.3408705622165857,True,False,True
23,1,3,-1.0652461040414416,0,0,-0.715099751899163,False,True,False
24,1,1,0.0568861078938489,0,0,1.3530533067497754,True,False,True
25,0,3,-1.6694711412373673,3,1,0.2670598929791193,False,False,True
26,1,3,0.9200647324594572,1,5,1.043441666255368,False,False,True
27,0,3,-0.2883853419323943,0,0,-0.7756443552512851,True,False,False
29,1,3,-0.2883853419323943,0,0,-0.726392577692272,False,True,False
30,0,3,-0.2883853419323943,0,0,-0.7251428383045012,True,False,True
31,0,1,1.0927004573725787,0,0,0.7673923040180813,True,False,False
33,1,3,-0.2883853419323943,0,0,-0.7361194649754034,False,True,False
36,0,1,1.2653361822857006,1,0,2.595264143991773,True,False,True
37,1,3,-0.2883853419323943,0,0,-0.7753281561290781,True,False,False
38,0,3,-0.5473389293020767,0,0,-0.7135338133891851,True,False,True
39,0,3,-0.8062925166717592,2,0,0.0355569642203833,False,False,True
40,1,3,-1.1515639664980024,1,0,-0.4732450661634103,False,False,False
41,0,3,1.0927004573725787,1,0,-0.606251968354649,False,False,True
42,0,2,-0.0294317545627118,1,0,0.2614134800825649,False,False,True
43,0,3,-0.2883853419323943,0,0,-0.7251428383045012,True,False,False
44,1,2,-2.101060453520172,1,2,1.8107289504929,False,False,False
45,1,3,-0.7199746542151984,0,0,-0.726392577692272,False,True,False
46,0,3,-0.2883853419323943,0,0,-0.7135338133891851,True,False,True
47,0,3,-0.2883853419323943,1,0,-0.1526567989981011,True,True,False
48,1,3,-0.2883853419323943,0,0,-0.7361194649754034,False,True,False
49,0,3,-0.2883853419323943,2,0,0.3125473952737628,True,False,False
50,0,3,-0.8062925166717592,1,0,0.0204998631629046,False,False,True
51,0,3,-1.7557890036939283,4,1,1.6683113601407369,True,False,True
52,0,3,-0.5473389293020767,0,0,-0.7323551897110335,True,False,True
54,1,2,0.1432039703504098,1,0,0.637841006519534,False,False,True
56,1,1,0.8337468700028964,0,0,1.3530533067497754,True,False,True
57,1,2,-0.5473389293020767,0,0,-0.5290843254350703,False,False,True
58,0,3,0.1000450391221293,0,0,-0.7753281561290781,True,False,False
59,1,2,-1.92842472860705,1,2,0.7695906407724732,False,False,True
60,0,3,-1.4105175538676848,5,2,2.211308067026065,True,False,True
61,0,3,-0.4610210668455159,0,0,-0.7753281561290781,True,False,False
64,0,3,-2.0147425910636105,3,2,0.7808834665655822,True,False,True
65,0,1,0.8337468700028964,0,0,0.7673923040180813,True,False,False
66,1,3,-0.2883853419323943,1,1,-0.1717943744421567,True,False,False
67,1,2,0.1432039703504098,0,0,-0.5290843254350703,False,False,True
68,0,3,-0.7199746542151984,0,0,-0.7053803931665604,True,False,True
69,1,3,-0.89261037912832,4,2,-0.7229445015501094,False,False,True
